ensembl_id	biotype	description
ENSG00000224228	NOT_FOUND_IN_ENSEMBL	
ENSG00000224239	lncRNA	novel transcript
ENSG00000224250	lncRNA	novel transcript
ENSG00000224251	lncRNA	novel transcript, antisense to AKR1C2
ENSG00000224260	lncRNA	novel transcript
ENSG00000224267	lncRNA	novel transcript
ENSG00000224269	lncRNA	novel transcript
ENSG00000224272	lncRNA	novel transcript
ENSG00000224277	lncRNA	novel transcript
ENSG00000224301	lncRNA	novel transcript
ENSG00000224322	lncRNA	novel transcript
ENSG00000224326	lncRNA	novel transcript
ENSG00000224330	lncRNA	novel transcript
ENSG00000224361	lncRNA	novel transcript, antisense to KLHL29
ENSG00000224363	lncRNA	novel transcript
ENSG00000224371	lncRNA	novel transcript
ENSG00000224374	lncRNA	novel transcript
ENSG00000224375	lncRNA	novel transcript
ENSG00000224376	lncRNA	novel transcript
ENSG00000224384	lncRNA	novel transcript
ENSG00000224387	lncRNA	novel transcript
ENSG00000224400	lncRNA	novel transcript
ENSG00000224404	lncRNA	novel transcript
ENSG00000224407	lncRNA	novel transcript
ENSG00000224409	lncRNA	novel transcript
ENSG00000224413	lncRNA	novel transcript
ENSG00000224477	lncRNA	novel transcript
ENSG00000224478	lncRNA	novel transcript
ENSG00000224481	NOT_FOUND_IN_ENSEMBL	
ENSG00000224500	lncRNA	novel transcript, antisense to KCNMA1
ENSG00000224504	lncRNA	novel transcript
ENSG00000224513	lncRNA	novel transcript
ENSG00000224516	lncRNA	endothelin converting enzyme like 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:14019]
ENSG00000224521	lncRNA	novel transcript
ENSG00000224525	NOT_FOUND_IN_ENSEMBL	
ENSG00000224541	lncRNA	novel transcript
ENSG00000224595	lncRNA	novel transcript
ENSG00000224605	lncRNA	novel transcript
ENSG00000224610	lncRNA	novel transcript
ENSG00000224612	lncRNA	novel transcript
ENSG00000224621	NOT_FOUND_IN_ENSEMBL	
ENSG00000224626	lncRNA	novel transcript
ENSG00000224635	lncRNA	novel transcript
ENSG00000224643	lncRNA	novel transcript
ENSG00000224645	lncRNA	novel transcript
ENSG00000224649	lncRNA	novel transcript, antisense to BACH1
ENSG00000224658	lncRNA	novel transcript
ENSG00000224661	lncRNA	novel transcript
ENSG00000224671	lncRNA	ADORA1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40067]
ENSG00000224675	lncRNA	GALNT13 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56700]
ENSG00000224691	lncRNA	novel transcript
ENSG00000224698	lncRNA	novel transcript
ENSG00000224700	lncRNA	NTM antisense RNA 4 [Source:HGNC Symbol;Acc:HGNC:58354]
ENSG00000224713	lncRNA	ARHGEF25 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41260]
ENSG00000224715	lncRNA	novel transcript
ENSG00000224731	lncRNA	novel transcript
ENSG00000224733	lncRNA	novel transcript, antisense to PTPRK
ENSG00000224738	lncRNA	novel transcript, antisense to TRIM37 and SKA2
ENSG00000224739	NOT_FOUND_IN_ENSEMBL	
ENSG00000224746	lncRNA	novel transcript, antisense to MTPN
ENSG00000224750	lncRNA	novel transcript
ENSG00000224764	lncRNA	AOPEP antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58217]
ENSG00000224789	lncRNA	novel transcript
ENSG00000224794	lncRNA	novel transcript
ENSG00000224799	lncRNA	novel transcript
ENSG00000224810	lncRNA	novel transcript (LOC149157)
ENSG00000224814	lncRNA	novel transcript
ENSG00000224817	lncRNA	long intergenic non-protein coding RNA 3046 [Source:HGNC Symbol;Acc:HGNC:56262]
ENSG00000224819	NOT_FOUND_IN_ENSEMBL	
ENSG00000224844	lncRNA	novel transcript
ENSG00000224848	lncRNA	novel transcript
ENSG00000224865	lncRNA	novel transcript
ENSG00000224876	lncRNA	novel transcript
ENSG00000224879	lncRNA	novel transcript
ENSG00000224888	lncRNA	HSP90AB1 associated lncRNA 1 [Source:HGNC Symbol;Acc:HGNC:56095]
ENSG00000224901	lncRNA	novel transcript
ENSG00000224905	lncRNA	novel transcript, antisense to LIPI
ENSG00000224918	lncRNA	novel transcript
ENSG00000224919	lncRNA	novel transcript
ENSG00000224935	lncRNA	novel transcript
ENSG00000224950	lncRNA	novel transcript
ENSG00000224969	lncRNA	novel transcript
ENSG00000224970	lncRNA	novel transcript, antisense to TRPV6
ENSG00000224984	lncRNA	novel transcript
ENSG00000224985	lncRNA	novel transcript
ENSG00000225000	lncRNA	novel transcript
ENSG00000225002	lncRNA	novel transcript
ENSG00000225006	lncRNA	novel transcript
ENSG00000225007	lncRNA	novel transcript
ENSG00000225012	lncRNA	novel transcript
ENSG00000225028	lncRNA	TRABD2B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58355]
ENSG00000225032	lncRNA	novel transcript
ENSG00000225044	lncRNA	novel transcript
ENSG00000225050	lncRNA	novel transcript
ENSG00000225056	lncRNA	novel transcript
ENSG00000225057	lncRNA	novel transcript
ENSG00000225058	NOT_FOUND_IN_ENSEMBL	
ENSG00000225075	lncRNA	novel transcript
ENSG00000225084	lncRNA	novel transcript, antisense to SMG6
ENSG00000225085	NOT_FOUND_IN_ENSEMBL	
ENSG00000225087	lncRNA	novel transcript
ENSG00000225096	lncRNA	novel transcript
ENSG00000225102	lncRNA	novel transcript
ENSG00000225106	lncRNA	CDH4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40139]
ENSG00000225107	lncRNA	novel transcript
ENSG00000225112	lncRNA	novel transcript
ENSG00000225129	lncRNA	novel transcript
ENSG00000225140	lncRNA	DIP2C antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:58219]
ENSG00000225144	lncRNA	PLXNA4 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:40452]
ENSG00000225146	lncRNA	novel transcript
ENSG00000225148	lncRNA	novel transcript
ENSG00000225152	lncRNA	novel transcript
ENSG00000225156	lncRNA	novel transcript
ENSG00000225166	lncRNA	novel transcript
ENSG00000225172	lncRNA	novel transcript
ENSG00000225173	lncRNA	novel transcript
ENSG00000225181	lncRNA	novel transcript
ENSG00000225208	lncRNA	novel transcript
ENSG00000225209	lncRNA	novel transcript
ENSG00000225214	lncRNA	novel transcript (LOC100127920)
ENSG00000225216	lncRNA	NRP2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40415]
ENSG00000225218	lncRNA	novel transcript
ENSG00000225230	lncRNA	novel transcript
ENSG00000225233	lncRNA	novel transcript
ENSG00000225258	lncRNA	novel transcript
ENSG00000225279	lncRNA	novel transcript
ENSG00000225280	lncRNA	novel transcript, antisense to NKX2-4
ENSG00000225284	lncRNA	novel transcript
ENSG00000225303	lncRNA	novel transcript
ENSG00000225311	lncRNA	novel transcript, antisense to UTRN
ENSG00000225313	lncRNA	novel transcript
ENSG00000225315	lncRNA	novel transcript, antisense to MYOM3
ENSG00000225325	lncRNA	novel transcript
ENSG00000225330	lncRNA	novel transcript, sense overlapping B3GALT5
ENSG00000225335	lncRNA	novel transcript
ENSG00000225339	lncRNA	SMIM29 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58176]
ENSG00000225341	lncRNA	novel transcript
ENSG00000225359	lncRNA	novel transcript
ENSG00000225365	lncRNA	PTPRN2 antisense RNA 3 [Source:HGNC Symbol;Acc:HGNC:40490]
ENSG00000225378	lncRNA	novel transcript
ENSG00000225387	lncRNA	novel transcript
ENSG00000225399	lncRNA	novel transcript
ENSG00000225407	lncRNA	novel transcript, antisense to F2R
ENSG00000225408	lncRNA	novel transcript
ENSG00000225411	lncRNA	novel transcript
ENSG00000225417	lncRNA	novel transcript
ENSG00000225420	lncRNA	EIF2AK3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58177]
ENSG00000225421	lncRNA	novel transcript
ENSG00000225424	lncRNA	novel transcript
ENSG00000225450	lncRNA	novel transcript
ENSG00000225457	lncRNA	novel transcript
ENSG00000225458	lncRNA	novel transcript
ENSG00000225488	lncRNA	novel transcript
ENSG00000225489	NOT_FOUND_IN_ENSEMBL	
ENSG00000225498	lncRNA	novel transcript
ENSG00000225519	lncRNA	novel transcript
ENSG00000225532	lncRNA	novel transcript
ENSG00000225537	lncRNA	novel transcript
ENSG00000225545	lncRNA	novel transcript
ENSG00000225555	lncRNA	novel transcript
ENSG00000225559	lncRNA	novel transcript
ENSG00000225563	lncRNA	novel transcript
ENSG00000225570	lncRNA	novel protein (FLJ40163)
ENSG00000225582	lncRNA	novel transcript
ENSG00000225588	lncRNA	novel transcript
ENSG00000225598	lncRNA	novel transcript
ENSG00000225605	lncRNA	novel transcript
ENSG00000225606	lncRNA	novel transcript
ENSG00000225610	lncRNA	novel transcript, antisense to INO80D
ENSG00000225612	lncRNA	novel transcript
ENSG00000225620	lncRNA	novel transcript
