organ	gene_adult_evidence_provenance	elev_pct	adult_pct	gene	in_hdma_universe	hdma_median_pct	elevated	adult_excluded	passes_F_developmental	n_candidates_this_combo
Skin	GTEx+HPA	75	10	IGF2	True	73.08299551952209	False	False	False	778
Skin	GTEx-only	75	10	H19	True	74.12844036697248	False	False	False	778
Skin	GTEx+HPA	75	10	LIN28B	True	52.57094090036271	False	True	False	778
Skin	GTEx+HPA	75	10	PEG10	True	79.1152917249269	True	True	True	778
Skin	GTEx+HPA	75	25	DLK1	True	51.54683166204394	False	True	False	1128
Skin	GTEx+HPA	75	25	IGF2	True	73.08299551952209	False	False	False	1128
Skin	GTEx-only	75	25	H19	True	74.12844036697248	False	False	False	1128
Skin	GTEx+HPA	75	25	LIN28B	True	52.57094090036271	False	True	False	1128
Skin	GTEx+HPA	75	25	PEG10	True	79.1152917249269	True	True	True	1128
Skin	GTEx+HPA	90	10	DLK1	True	51.54683166204394	False	True	False	245
Skin	GTEx+HPA	90	10	IGF2	True	73.08299551952209	False	False	False	245
