gene	logFC	logCPM	F	PValue	FDR
MRPS33	0.255619349650486	6.17188571634377	2.18884834959499	0.153267141022085	0.208568065547547
TRNT1	0.270851026738961	4.29910357700374	2.18327341653086	0.153308890788079	0.208608100630811
DCAF5	-0.279614122021858	5.09708065132391	2.17876361588549	0.153437921682852	0.208766883550637
AC007383.3	-0.494738639558096	-1.032725897055	2.18741339455276	0.153630170220669	0.20901164763296
PRPF8	-0.233475002565251	5.44841262734967	2.18127471956268	0.153822360722312	0.209256293403618
ECPAS	0.178240738758115	5.36787154484038	2.17095664454567	0.154009657964399	0.209494243696709
HINFP	-0.256980190350479	2.75894790104071	2.17123811935413	0.154134893242924	0.209647741681569
PIEZO1	-0.343772480257462	4.39157535842039	2.16190944365655	0.154289438759168	0.209841078325271
AC062029.1	0.357988983147207	0.61834158122743	2.1748805545451	0.154379341384971	0.209946473506336
RUVBL2	0.294426485244975	5.48235126947575	2.17386017548209	0.154581860808943	0.210204991402227
KIAA0391	0.340032524798902	0.455135464360877	2.17794986591525	0.154633926496941	0.210258892743048
FCRLB	0.356288887967926	1.04686796395617	2.15906351323545	0.154824731283973	0.210501416634003
NIPSNAP2	-0.236339746056129	5.5335843400659	2.16595118295377	0.154902266667664	0.210581435111473
C11orf71	-0.344219292549813	3.22396499406314	2.1623929737522	0.154908478125031	0.210581435111473
AASDHPPT	0.260679352957467	5.48466204670172	2.17040064837593	0.155050701236052	0.210757838371717
SMAD4	0.205048775487047	4.58473962238958	2.16545643676025	0.15507505867103	0.210774013307773
FGFR3	1.03117803108968	2.29084664007983	2.18073024013519	0.155362364665147	0.211147549824856
EPC2	0.245700238991823	4.74858568529851	2.15886843024378	0.155389632823891	0.2111617206331
AL139393.2	-0.648881467814538	2.93695314790391	2.16859741763512	0.155397753035211	0.2111617206331
RSAD1	-0.281207329001496	3.58953262443106	2.15731644892097	0.15550422724664	0.211283067218181
TTC27	0.290268983827836	3.79360099246025	2.16137958484703	0.155512030029435	0.211283067218181
HEATR5B	0.286444482295123	4.0306549833414	2.14988933120038	0.1555486156606	0.211290311895306
NDUFC2	0.308167571995322	7.68740268902627	2.16578981857523	0.155550324698691	0.211290311895306
KATNB1	0.276042287166578	3.05275028186277	2.16263202120031	0.155554827411072	0.211290311895306
ZNF233	-0.515895174485075	-0.639374473670242	2.15761874916503	0.155735562945009	0.211518823911585
PDSS1	0.341517131181502	2.83512652776943	2.1456349794137	0.155907743314044	0.211735509716456
SGPP2	-0.594574890348113	2.36767008822866	2.17743810251904	0.155920132132947	0.211735509716456
KIAA1328	0.185291227297492	4.5845207222137	2.14844537832409	0.156360833102904	0.212300932906506
ALG1	-0.210489345626867	3.59031572405747	2.14909123830814	0.15636160085986	0.212300932906506
NUMB	-0.225657666439779	5.97919791295328	2.15098404889829	0.15641762969291	0.212359964433826
GRINA	-0.254076634458998	6.54459332917714	2.16036830556744	0.156461937394619	0.21240307460319
DDX55	0.266911517753579	3.70360984280015	2.14674999601919	0.156487138359271	0.212420241808448
PDCD7	0.261229756627852	5.10683958754959	2.15231331072915	0.156506646537171	0.212421400418821
ADPRHL1	-0.497348700168772	2.10067911952639	2.15061666131111	0.156513102288612	0.212421400418821
MGRN1	-0.257109929118101	4.78903103146852	2.14578217848109	0.156546807011368	0.212450102496618
OXR1	0.227989465201784	5.45418537024982	2.14700265126426	0.156667317024088	0.212596594219646
MRPL53	-0.328650169761482	3.50437370741245	2.13238388569883	0.156728115648391	0.212662040953976
RCAN3	-0.450037452841237	3.40998549541422	2.14028785591584	0.156859336261598	0.212823024074577
TCTE3	-0.326741785804992	0.914308375342148	2.13911000662997	0.157115868516323	0.213153987605458
PEX2	-0.274329618533156	4.69250646618886	2.14060695074396	0.157172007568465	0.213210787984654
NFIL3	-0.30720847161743	5.314488732949	2.13760092951143	0.157182939803333	0.213210787984654
ANKLE2	0.228022586172935	5.10412558176819	2.14190855414405	0.157207488684858	0.213226992228564
TMEM181	-0.260440955189043	4.88489098914845	2.13900493772162	0.157386193376274	0.213452264988632
USP15	-0.29085069089861	6.30374708472971	2.14362674263203	0.157576229561324	0.213692868543447
ZW10	0.242746793750175	3.00784480872461	2.13182244439544	0.157837435346921	0.214029940581434
NPIPB15	0.43373675265983	2.12865306252245	2.12166982264636	0.157887444564809	0.214080595815996
ZBED5-AS1	0.338713288195311	3.27176593506332	2.127712209366	0.158251864986355	0.214557520931496
ZNHIT6	-0.292592163945112	4.19882915258055	2.13166637554495	0.158366723898384	0.214696041797817
RBM17	0.246142336295317	6.53245505861347	2.13438500667043	0.158575489469427	0.21496183850118
KLC4	0.228040589795964	2.88125184255121	2.12269732550075	0.158786329521575	0.215230404516546
DOCK8	-0.458356380544943	6.11679227798187	2.12083039200968	0.15885837028653	0.215293724085853
DDX17	-0.207821140197666	7.57937574387229	2.1331892127929	0.158858493497712	0.215293724085853
GSPT1	0.182670074664459	6.16995499708286	2.12991178489384	0.158946409379764	0.215386207018857
SCUBE3	0.965982825589076	1.45298500901811	2.14710650954035	0.158952194623645	0.215386207018857
HDAC10	-0.293180688499141	3.79343428336112	2.11732929233982	0.159056692038392	0.215510544774369
ACTR2	-0.253564811817944	7.23862604370682	2.13034779858128	0.159149241778612	0.215618675660822
LUC7L3	-0.288615652193414	6.7031200487964	2.12650795048498	0.159203034190164	0.215674284207173
NOTCH3	-0.528649025755741	3.88172004373588	2.12306875831323	0.159217626918499	0.215676783813778
TPI1	0.26214739137148	9.34748984019059	2.12970492672814	0.159282434645388	0.215747298996503
LINC02265	-0.689916603643729	-1.73686685935661	2.10894696001971	0.159486365021994	0.216006228770982
