gene	T273_b16_Adr_PCW18	T318_b16_Adr_PCW21	T390_b16_Adr_PCW13	T40_b16_Adr_PCW17
AHCYL1	858	1820	56	394
AHCYL2	8130	18368	374	2661
AHDC1	2299	4756	110	1334
AHI1	1840	5291	201	2466
AHI1-DT	385	838	34	842
AHNAK	165	252	49	199
AHNAK2	2	14	2	7
AHR	84	113	9	67
AHSA1	161	346	23	147
AHSG	1	6	0	2
AICDA	3	1	0	6
AIDA	222	361	10	166
AIF1	4	2	0	1
AIF1L	116	140	10	74
AIFM1	99	103	6	122
AIFM2	133	116	3	82
AIFM3	3	6	0	3
AIG1	480	721	59	463
AIM2	33	35	3	22
AIMP1	177	252	18	194
AIMP2	46	96	5	39
AIP	15	30	0	36
AIPL1	22	38	0	14
AIRE	0	3	0	0
AIRN	2	14	1	4
AJAP1	24	67	7	13
AJM1	11	35	3	24
AJUBA-DT	9	18	1	11
AK1	6	5	1	6
AK2	310	574	33	284
AK2-AS1	50	72	2	25
AK3	685	782	59	528
AK4	27	122	6	23
AK4P3	51	88	9	44
AK5	106	133	30	102
AK6	98	148	4	82
AK7	105	171	12	77
AK8	98	144	24	111
AK9	95	128	44	162
AKAIN1	4	4	2	6
AKAIN1-AS1	2	0	0	0
AKAP1	126	223	15	79
AKAP1-DT	4	7	2	14
AKAP10	1058	1367	98	1029
AKAP11	719	812	63	721
AKAP12	354	620	168	334
AKAP13	3331	4701	325	2018
AKAP13-AS1	50	66	4	20
AKAP14	16	38	1	17
AKAP3	14	22	0	38
AKAP5	2	2	0	4
AKAP6	567	837	267	677
AKAP7	1315	1534	94	1583
AKAP8	245	294	23	206
AKAP8L	1323	1677	79	906
AKAP9	5105	9589	281	2855
AKIP1	84	106	7	46
AKIRIN1	242	370	21	149
AKIRIN2	437	584	14	234
AKNA	185	624	26	219
AKNAD1	30	39	4	23
AKR1A1	156	202	10	144
AKR1B1	366	780	7	91
AKR1B15	5	8	0	6
AKR1C1	18	4	4	9
AKR1C2	11	42	1	18
AKR1C3	18	16	1	13
AKR1C4	14	7	0	5
AKR1C8	2	5	0	5
AKR1D1	42	69	5	40
AKR1E2	26	43	2	18
AKR7A2	35	54	9	34
AKR7A3	2	2	0	6
AKR7L	1	3	0	5
AKT1	49	104	10	95
AKT2	573	1196	62	704
AKT3	788	1354	376	1205
AKTIP	91	94	11	77
ALAD	219	311	23	164
ALAS1	1902	8057	106	706
ALAS2	3	5	0	4
ALB	12	16	1	8
ALCAM	1478	1707	466	2518
ALDH16A1	26	30	9	34
ALDH18A1	98	180	17	92
ALDH1A1	222	214	14	225
ALDH1A2	2348	3286	165	1311
ALDH1A2-AS1	7	2	0	8
ALDH1A3	7	8	6	6
ALDH1A3-AS1	3	6	0	2
ALDH1B1	5	15	2	5
ALDH1L1	7	22	0	11
ALDH1L1-AS1	0	1	0	2
ALDH1L1-AS2	0	4	0	3
ALDH1L2	68	92	13	52
ALDH2	288	667	33	180
ALDH3A1	0	7	0	0
ALDH3A2	3739	7993	156	1014
ALDH3B1	12	11	9	8
ALDH3B2	4	4	0	2
ALDH4A1	27	43	2	24
ALDH5A1	29	50	10	59
ALDH6A1	44	49	7	77
ALDH7A1	212	272	38	326
ALDH8A1	25	20	0	24
ALDH9A1	208	125	8	168
ALDOB	6	18	0	1
ALG1	124	148	18	135
ALG10	11	10	1	21
ALG10B	10	12	2	31
ALG11	180	195	18	190
ALG12	26	34	5	42
ALG13	1043	7702	110	934
ALG13-AS1	8	24	1	6
ALG14	403	407	29	504
ALG14-AS1	0	4	0	11
ALG1L2	23	41	1	13
ALG1L9P	89	138	12	105
ALG2	42	95	4	37
ALG3	34	48	4	38
ALG5	265	247	39	263
ALG6	132	168	24	155
ALG8	316	281	35	317
ALG9	3	5	2	7
ALK	295	325	160	412
ALKAL1	7	9	1	8
ALKAL2	115	371	2	35
ALKBH1	199	217	17	195
ALKBH2	27	38	1	23
ALKBH3	175	134	23	215
ALKBH3-AS1	3	5	0	1
ALKBH4	25	37	5	35
ALKBH5	180	475	17	138
ALKBH7	5	14	0	7
ALKBH8	156	98	13	188
ALLC	16	31	0	13
ALMS1	640	1101	103	900
ALOX12	7	18	1	15
ALOX12-AS1	126	250	26	179
ALOX12B	1	8	0	0
ALOX15	1	3	0	3
ALOX5	35	55	12	49
ALOX5AP	11	8	4	10
ALOXE3	8	22	1	2
ALPK1	296	504	34	394
ALPK2	37	74	6	31
ALPK3	2100	5428	82	724
ALPL	517	3997	20	144
ALS2	726	770	44	556
ALS2CL	11	56	0	35
