raw_mouse_symbol	canonical_mouse_symbol	resolution_method	mouse_ensembl_ids
Lama3	Lama3	exact	ENSMUSG00000024421
Lama4	Lama4	exact	ENSMUSG00000019846
Lama5	Lama5	exact	ENSMUSG00000015647
Lamb1	Lamb1	exact	ENSMUSG00000002900
Lamb2	Lamb2	exact	ENSMUSG00000052911
Lamb3	Lamb3	exact	ENSMUSG00000026639
Lamc1	Lamc1	exact	ENSMUSG00000026478
Lamc2	Lamc2	exact	ENSMUSG00000026479
Laptm5	Laptm5	exact	ENSMUSG00000028581
Lasp1	Lasp1	exact	ENSMUSG00000038366
Lats2	Lats2	exact	ENSMUSG00000021959
Lbh	Lbh	exact	ENSMUSG00000024063
Lbp	Lbp	exact	ENSMUSG00000016024
Lcn2	Lcn2	exact	ENSMUSG00000026822
Ldhb	Ldhb	exact	ENSMUSG00000030246
Ldhd	Ldhd	exact	ENSMUSG00000031958
Ldoc1L		not_found	
Lefty1	Lefty1	exact	ENSMUSG00000038793
Leprel4		not_found	
Leprotl1	Leprotl1	exact	ENSMUSG00000031513
Lgals1	Lgals1	exact	ENSMUSG00000068220
Lgals3	Lgals3	exact	ENSMUSG00000050335
Lgals3Bp	Lgals3bp	case_insensitive	ENSMUSG00000033880
Lgi2	Lgi2	exact	ENSMUSG00000039252
Lgmn	Lgmn	exact	ENSMUSG00000021190
Lhfpl2	Lhfpl2	exact	ENSMUSG00000045312
Limk1	Limk1	exact	ENSMUSG00000029674
Lims2	Lims2	exact	ENSMUSG00000024395
Lipa	Lipa	exact	ENSMUSG00000024781
Litaf	Litaf	exact	ENSMUSG00000022500
Lman2L	Lman2l	case_insensitive	ENSMUSG00000001143
Lmna	Lmna	exact	ENSMUSG00000028063
Lmo4	Lmo4	exact	ENSMUSG00000028266
Lmo7	Lmo7	exact	ENSMUSG00000033060
Lor		not_found	
Loxl4	Loxl4	exact	ENSMUSG00000025185
Lpar6	Lpar6	exact	ENSMUSG00000033446
Lpcat4	Lpcat4	exact	ENSMUSG00000027134
Lphn3		not_found	
Lrg1	Lrg1	exact	ENSMUSG00000037095
Lrp6	Lrp6	exact	ENSMUSG00000030201
Lrrc20	Lrrc20	exact	ENSMUSG00000037151
Lrrc26	Lrrc26	exact	ENSMUSG00000026961
Lrrc49	Lrrc49	exact	ENSMUSG00000047766
Lrrc8E	Lrrc8e	case_insensitive	ENSMUSG00000046589
Lrrfip1	Lrrfip1	exact	ENSMUSG00000026305
Lsm11	Lsm11	exact	ENSMUSG00000044847
Lsm6	Lsm6	exact	ENSMUSG00000031683
Lss	Lss	exact	ENSMUSG00000033105
Lst1	Lst1	exact	ENSMUSG00000073412
Ltb	Ltb	exact	ENSMUSG00000024399
Ltbp1	Ltbp1	exact	ENSMUSG00000001870
Ltbp3	Ltbp3	exact	ENSMUSG00000024940
Ltbp4	Ltbp4	exact	ENSMUSG00000040488
Ltf	Ltf	exact	ENSMUSG00000032496
Luc7L3	Luc7l3	case_insensitive	ENSMUSG00000020863
Lum	Lum	exact	ENSMUSG00000036446
Lurap1L	Lurap1l	case_insensitive	ENSMUSG00000048706
Lxn	Lxn	exact	ENSMUSG00000047557
Ly6A	Ly6a	case_insensitive	ENSMUSG00000075602
Ly6C1	Ly6c1	case_insensitive	ENSMUSG00000079018
Ly6C2	Ly6c2	case_insensitive	ENSMUSG00000022584
Ly6D	Ly6d	case_insensitive	ENSMUSG00000034634
Ly6E	Ly6e	case_insensitive	ENSMUSG00000022587
Ly6G6E	Ly6g6e	case_insensitive	ENSMUSG00000013766
Ly96	Ly96	exact	ENSMUSG00000025779
Lynx1	Lynx1	exact	ENSMUSG00000022594
Lypd3	Lypd3	exact	ENSMUSG00000057454
Lyplal1	Lyplal1	exact	ENSMUSG00000039246
Macf1	Macf1	exact	ENSMUSG00000028649
Maff	Maff	exact	ENSMUSG00000042622
Maged1	Maged1	exact	ENSMUSG00000025151
Maged2	Maged2	exact	ENSMUSG00000025268
Magee1	Magee1	exact	ENSMUSG00000031227
Mal	Mal	exact	ENSMUSG00000027375
Maml2	Maml2	exact	ENSMUSG00000031925
Man2A2	Man2a2	case_insensitive	ENSMUSG00000038886
Manba	Manba	exact	ENSMUSG00000028164
Map1B	Map1b	case_insensitive	ENSMUSG00000052727
Map1Lc3A	Map1lc3a	case_insensitive	ENSMUSG00000027602
Map1S	Map1s	case_insensitive	ENSMUSG00000019261
Map3K12	Map3k12	case_insensitive	ENSMUSG00000023050
Map7D1	Map7d1	case_insensitive	ENSMUSG00000028849
Map9	Map9	exact	ENSMUSG00000033900
Mapk11	Mapk11	exact	ENSMUSG00000053137
Mapk12	Mapk12	exact	ENSMUSG00000022610
Mapk8Ip1	Mapk8ip1	case_insensitive	ENSMUSG00000027223
Mapre1	Mapre1	exact	ENSMUSG00000027479
Mapre2	Mapre2	exact	ENSMUSG00000024277
Marcksl1	Marcksl1	exact	ENSMUSG00000047945
Marveld1	Marveld1	exact	ENSMUSG00000044345
Mbnl2	Mbnl2	exact	ENSMUSG00000022139
Mboat1	Mboat1	exact	ENSMUSG00000038732
Mboat2	Mboat2	exact	ENSMUSG00000020646
Mcam	Mcam	exact	ENSMUSG00000032135
Mcc	Mcc	exact	ENSMUSG00000071856
Mdfi	Mdfi	exact	ENSMUSG00000032717
Mdfic	Mdfic	exact	ENSMUSG00000041390
Mdm2	Mdm2	exact	ENSMUSG00000020184
Me1	Me1	exact	ENSMUSG00000032418
Mea1	Mea1	exact	ENSMUSG00000002768
Med31	Med31	exact	ENSMUSG00000020801
Medag	Medag	exact	ENSMUSG00000029659
Megf8	Megf8	exact	ENSMUSG00000045039
Meis1	Meis1	exact	ENSMUSG00000020160
Meis2	Meis2	exact	ENSMUSG00000027210
Metrn	Metrn	exact	ENSMUSG00000002274
Mettl7B		not_found	
Mfap3L	Mfap3l	case_insensitive	ENSMUSG00000031647
Mfap5	Mfap5	exact	ENSMUSG00000030116
Mfhas1	Mfhas1	exact	ENSMUSG00000070056
Mfsd1	Mfsd1	exact	ENSMUSG00000027775
Mfsd2A	Mfsd2a	case_insensitive	ENSMUSG00000028655
Mgarp	Mgarp	exact	ENSMUSG00000037161
Mgat3	Mgat3	exact	ENSMUSG00000042428
Mgat4C	Mgat4c	case_insensitive	ENSMUSG00000019888
Mgmt	Mgmt	exact	ENSMUSG00000054612
Mgp	Mgp	exact	ENSMUSG00000030218
Mis12	Mis12	exact	ENSMUSG00000040599
Mkrn3	Mkrn3	exact	ENSMUSG00000070527
Mlf1	Mlf1	exact	ENSMUSG00000048416
Mlkl	Mlkl	exact	ENSMUSG00000012519
Mmp11	Mmp11	exact	ENSMUSG00000000901
Mmp13	Mmp13	exact	ENSMUSG00000050578
Mmp14	Mmp14	exact	ENSMUSG00000000957
Mmp15	Mmp15	exact	ENSMUSG00000031790
Mmp2	Mmp2	exact	ENSMUSG00000031740
Mmp23	Mmp23	exact	ENSMUSG00000029061
