	A26 (386C)	A30 (398B)	A32 (411C)	A33 (414C)	A34 (417C)	A38 (432C)	A39 (440C)	F66	F67	F72	F73	F78
UBIAD1	243.0	155.0	352.0	311.0	274.0	430.0	56.0	77.0	27.0	30.0	252.0	62.0
AL031291.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DISP3	14.0	0.0	0.0	1.0	0.0	1.0	2.0	4.0	0.0	1.0	6.0	0.0
LINC01647	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
AL031731.1	2.0	2.0	0.0	12.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0
FBXO2	10.0	4.0	4.0	65.0	10.0	24.0	4.0	219.0	97.0	78.0	1091.0	967.0
FBXO44	28.0	25.0	17.0	122.0	63.0	97.0	12.0	69.0	31.0	21.0	166.0	133.0
FBXO6	215.0	67.0	111.0	235.0	201.0	260.0	56.0	82.0	45.0	30.0	261.0	105.0
MAD2L2	92.0	55.0	165.0	254.0	173.0	210.0	37.0	88.0	47.0	41.0	372.0	112.0
DRAXIN	6.0	1.0	2.0	28.0	16.0	7.0	1.0	2.0	1.0	0.0	2.0	0.0
AGTRAP	242.0	174.0	416.0	472.0	350.0	525.0	99.0	196.0	124.0	49.0	798.0	152.0
C1orf167	41.0	1.0	1.0	30.0	16.0	12.0	4.0	4.0	0.0	0.0	1.0	3.0
AL953897.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MTHFR	850.0	330.0	305.0	423.0	885.0	805.0	162.0	138.0	13.0	46.0	144.0	118.0
CLCN6	328.0	66.0	168.0	221.0	318.0	288.0	116.0	40.0	13.0	26.0	226.0	83.0
NPPA-AS1	42.0	13.0	10.0	37.0	23.0	59.0	3.0	6.0	0.0	0.0	4.0	0.0
NPPA	4.0	0.0	3.0	0.0	2.0	2.0	1.0	1.0	0.0	0.0	1.0	0.0
NPPB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KIAA2013	1887.0	1099.0	1084.0	1372.0	1605.0	1609.0	376.0	270.0	67.0	83.0	666.0	307.0
PLOD1	396.0	210.0	246.0	616.0	384.0	548.0	164.0	129.0	107.0	82.0	477.0	239.0
MFN2	760.0	475.0	664.0	671.0	1196.0	968.0	202.0	122.0	45.0	97.0	404.0	162.0
MIIP	488.0	189.0	275.0	524.0	446.0	570.0	126.0	84.0	43.0	30.0	306.0	69.0
TNFRSF8	1.0	0.0	1.0	5.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
TNFRSF1B	362.0	57.0	82.0	191.0	264.0	194.0	73.0	14.0	8.0	7.0	50.0	75.0
VPS13D	1103.0	326.0	783.0	842.0	1100.0	996.0	231.0	47.0	16.0	27.0	225.0	97.0
AC243836.1	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
DHRS3	1682.0	720.0	514.0	761.0	747.0	1323.0	462.0	267.0	241.0	150.0	738.0	146.0
AC254633.1	55.0	2.0	7.0	13.0	17.0	14.0	18.0	1.0	4.0	1.0	0.0	3.0
AADACL4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1orf158	1.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0
PRAMEF12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HNRNPCL1	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HNRNPCL3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HNRNPCL2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC245056.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HNRNPCL4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC243961.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF20	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
LRRC38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL354712.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PDPN	0.0	5.0	0.0	57.0	1.0	5.0	1.0	8.0	8.0	1.0	4.0	0.0
AL359771.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRDM2	830.0	303.0	555.0	1135.0	935.0	744.0	174.0	116.0	46.0	59.0	329.0	105.0
KAZN	167.0	44.0	176.0	172.0	229.0	186.0	62.0	35.0	17.0	20.0	153.0	106.0
AL357873.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KAZN-AS1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEM51-AS1	70.0	16.0	22.0	20.0	59.0	50.0	8.0	21.0	7.0	8.0	39.0	57.0
TMEM51	915.0	299.0	478.0	476.0	801.0	740.0	250.0	132.0	60.0	140.0	955.0	197.0
C1orf195	0.0	0.0	1.0	17.0	3.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0
FHAD1	33.0	7.0	10.0	41.0	35.0	17.0	7.0	0.0	1.0	1.0	12.0	1.0
AL031283.2	2.0	0.0	2.0	8.0	4.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
AL031283.3	1.0	0.0	0.0	3.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AL031283.1	12.0	2.0	4.0	9.0	42.0	12.0	4.0	0.0	0.0	1.0	5.0	1.0
EFHD2	3732.0	2152.0	1735.0	3759.0	4151.0	4098.0	1187.0	177.0	41.0	130.0	670.0	156.0
CTRC	24.0	3.0	8.0	5.0	19.0	15.0	4.0	106.0	1.0	0.0	0.0	0.0
CELA2A	6.0	0.0	0.0	3.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0
CELA2B	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
CASP9	297.0	72.0	129.0	181.0	430.0	272.0	360.0	35.0	28.0	43.0	200.0	72.0
DNAJC16	372.0	167.0	383.0	879.0	510.0	490.0	79.0	84.0	33.0	26.0	223.0	113.0
AL121992.3	5.0	14.0	15.0	61.0	11.0	10.0	1.0	4.0	0.0	0.0	7.0	4.0
AGMAT	292.0	207.0	650.0	825.0	809.0	1117.0	171.0	55.0	30.0	76.0	646.0	389.0
AL121992.1	8.0	1.0	20.0	52.0	48.0	38.0	12.0	4.0	0.0	2.0	8.0	3.0
DDI2	397.0	202.0	437.0	851.0	623.0	623.0	110.0	189.0	123.0	134.0	781.0	235.0
RSC1A1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL121992.2	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLEKHM2	381.0	165.0	293.0	330.0	601.0	382.0	136.0	72.0	22.0	37.0	161.0	47.0
AL450998.3	3.0	1.0	5.0	1.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
SLC25A34	199.0	168.0	166.0	74.0	128.0	444.0	124.0	12.0	0.0	3.0	17.0	6.0
SLC25A34-AS1	2.0	1.0	1.0	3.0	1.0	2.0	4.0	9.0	4.0	0.0	8.0	1.0
TMEM82	726.0	343.0	162.0	105.0	326.0	694.0	290.0	120.0	61.0	58.0	452.0	261.0
FBLIM1	6096.0	1414.0	1318.0	1625.0	4021.0	4832.0	2926.0	412.0	163.0	209.0	863.0	280.0
UQCRHL	665.0	53.0	1360.0	241.0	1661.0	2265.0	584.0	3.0	2.0	33.0	2116.0	1.0
AL450998.2	502.0	100.0	334.0	353.0	314.0	544.0	107.0	49.0	20.0	58.0	435.0	104.0
SPEN	2118.0	413.0	1320.0	2208.0	2147.0	2055.0	609.0	162.0	46.0	142.0	526.0	284.0
ZBTB17	436.0	161.0	188.0	307.0	410.0	429.0	135.0	39.0	15.0	21.0	154.0	51.0
SRARP	3.0	0.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL355994.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HSPB7	3.0	1.0	1.0	33.0	3.0	1.0	0.0	0.0	0.0	0.0	4.0	3.0
CLCNKA	0.0	2.0	0.0	0.0	2.0	8.0	0.0	3.0	3.0	1.0	1.0	0.0
CLCNKB	3.0	4.0	2.0	0.0	1.0	3.0	1.0	3.0	3.0	8.0	11.0	2.0
FAM131C	5.0	3.0	0.0	3.0	2.0	3.0	0.0	1.0	2.0	4.0	21.0	1.0
EPHA2	2496.0	538.0	266.0	722.0	2407.0	1185.0	1467.0	416.0	16.0	222.0	236.0	70.0
AL451042.2	301.0	12.0	68.0	21.0	109.0	211.0	82.0	7.0	2.0	21.0	48.0	29.0
AL451042.1	120.0	19.0	23.0	46.0	50.0	37.0	18.0	22.0	6.0	10.0	10.0	7.0
ARHGEF19-AS1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ARHGEF19	85.0	55.0	117.0	144.0	103.0	163.0	28.0	42.0	17.0	14.0	157.0	28.0
CPLANE2	55.0	16.0	34.0	27.0	33.0	55.0	10.0	22.0	3.0	6.0	46.0	16.0
FBXO42	466.0	156.0	268.0	326.0	400.0	449.0	124.0	93.0	33.0	29.0	274.0	88.0
SZRD1	1209.0	680.0	1015.0	1416.0	1439.0	1870.0	497.0	275.0	99.0	104.0	790.0	238.0
SPATA21	5.0	0.0	4.0	5.0	3.0	12.0	3.0	0.0	0.0	0.0	1.0	1.0
NECAP2	899.0	538.0	501.0	1164.0	782.0	865.0	280.0	180.0	80.0	95.0	688.0	143.0
LINC01772	15.0	9.0	10.0	29.0	12.0	10.0	0.0	5.0	2.0	1.0	1.0	2.0
AL137802.2	19.0	20.0	25.0	179.0	54.0	25.0	2.0	11.0	14.0	4.0	27.0	24.0
AL137802.1	0.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
LINC01783	0.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	2.0	1.0	21.0	0.0
NBPF1	1536.0	277.0	401.0	517.0	747.0	1476.0	437.0	61.0	72.0	76.0	418.0	251.0
AL137798.1	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL137798.2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
AL021920.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL021920.3	5.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
CROCC	217.0	43.0	158.0	100.0	190.0	159.0	42.0	29.0	4.0	23.0	105.0	51.0
BX284668.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BX284668.2	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	21.0	0.0
BX284668.5	710.0	351.0	217.0	183.0	607.0	239.0	202.0	220.0	158.0	58.0	747.0	372.0
BX284668.6	180.0	27.0	109.0	238.0	99.0	280.0	59.0	16.0	14.0	18.0	132.0	88.0
MFAP2	16.0	8.0	15.0	33.0	9.0	16.0	3.0	430.0	457.0	276.0	3807.0	706.0
AL049569.1	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATP13A2	960.0	441.0	423.0	329.0	740.0	741.0	119.0	39.0	7.0	19.0	86.0	30.0
SDHB	3643.0	4219.0	3054.0	5236.0	4150.0	8197.0	1775.0	813.0	602.0	379.0	3237.0	764.0
PADI2	4504.0	1174.0	1418.0	1707.0	2917.0	2653.0	1848.0	242.0	96.0	129.0	857.0	152.0
AL590644.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL590644.3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	3.0	0.0
PADI1	16.0	8.0	6.0	7.0	48.0	9.0	1.0	4.0	1.0	0.0	7.0	0.0
PADI3	1.0	1.0	1.0	1.0	10.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0
PADI4	0.0	1.0	0.0	3.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
PADI6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004824.1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RCC2	426.0	373.0	910.0	1425.0	1097.0	781.0	112.0	145.0	47.0	53.0	422.0	105.0
ARHGEF10L	1453.0	652.0	1151.0	1003.0	2235.0	1451.0	362.0	284.0	85.0	141.0	777.0	250.0
AL136529.1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTL8	1.0	2.0	0.0	19.0	1.0	5.0	0.0	2.0	0.0	0.0	2.0	0.0
AL357509.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IGSF21	33.0	10.0	18.0	13.0	2.0	5.0	11.0	0.0	0.0	0.0	3.0	0.0
IGSF21-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL591896.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KLHDC7A	32.0	4.0	11.0	10.0	22.0	2.0	3.0	13.0	4.0	1.0	25.0	12.0
PAX7	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TAS1R2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL080251.1	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0
ALDH4A1	42.0	20.0	75.0	125.0	77.0	72.0	16.0	10.0	5.0	3.0	21.0	1.0
IFFO2	96.0	20.0	37.0	140.0	96.0	95.0	69.0	22.0	2.0	6.0	21.0	4.0
UBR4	1565.0	444.0	1054.0	989.0	2213.0	1706.0	592.0	168.0	63.0	141.0	556.0	221.0
AL035413.1	92.0	40.0	9.0	39.0	24.0	23.0	21.0	22.0	7.0	3.0	54.0	3.0
EMC1	274.0	182.0	440.0	738.0	579.0	523.0	103.0	75.0	46.0	52.0	326.0	109.0
MRTO4	419.0	291.0	985.0	1473.0	925.0	1181.0	130.0	135.0	66.0	58.0	628.0	169.0
AKR7A3	2408.0	2406.0	2443.0	1987.0	2684.0	6090.0	2031.0	6.0	0.0	18.0	72.0	39.0
AKR7A2	2209.0	1806.0	2491.0	2137.0	2489.0	5308.0	1065.0	186.0	70.0	275.0	2509.0	688.0
PQLC2	389.0	119.0	193.0	194.0	266.0	465.0	83.0	49.0	41.0	38.0	335.0	111.0
CAPZB	5975.0	3284.0	3816.0	4623.0	5000.0	7796.0	2480.0	898.0	627.0	396.0	4048.0	761.0
AL031727.2	4.0	1.0	0.0	1.0	5.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0
MINOS1	10465.0	11598.0	5371.0	20983.0	8893.0	4500.0	1962.0	1600.0	1191.0	524.0	2131.0	1220.0
NBL1	6999.0	4642.0	2554.0	5263.0	4929.0	4913.0	1363.0	347.0	55.0	288.0	1014.0	84.0
MINOS1-NBL1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
HTR6	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
TMCO4	444.0	151.0	369.0	450.0	376.0	417.0	163.0	42.0	38.0	46.0	200.0	37.0
RNF186	3648.0	1465.0	1297.0	1259.0	1418.0	3096.0	488.0	639.0	652.0	855.0	7491.0	375.0
AL391883.1	37.0	38.0	68.0	118.0	60.0	35.0	12.0	40.0	16.0	21.0	177.0	15.0
OTUD3	369.0	73.0	223.0	488.0	489.0	359.0	96.0	39.0	17.0	34.0	175.0	52.0
PLA2G2E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLA2G2A	1896.0	7410.0	1638.0	10076.0	6279.0	14381.0	342.0	587.0	1040.0	377.0	3782.0	1059.0
PLA2G5	3.0	1.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
PLA2G2D	2.0	3.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLA2G2F	2.0	1.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0
Z98257.1	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
PLA2G2C	5.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
UBXN10-AS1	19.0	4.0	4.0	10.0	9.0	2.0	1.0	4.0	1.0	4.0	8.0	2.0
UBXN10	132.0	39.0	29.0	82.0	175.0	95.0	38.0	29.0	12.0	9.0	74.0	4.0
LINC01757	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Z98257.2	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VWA5B1	4.0	1.0	14.0	7.0	31.0	2.0	0.0	15.0	1.0	32.0	77.0	8.0
AL020998.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01141	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AL139254.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL139254.2	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL139254.3	13.0	1.0	6.0	2.0	15.0	4.0	1.0	6.0	8.0	1.0	42.0	17.0
CAMK2N1	11202.0	4082.0	3138.0	9605.0	9249.0	7895.0	1507.0	899.0	348.0	494.0	2504.0	527.0
MUL1	422.0	277.0	344.0	413.0	519.0	624.0	145.0	91.0	46.0	39.0	370.0	85.0
FAM43B	6.0	1.0	1.0	1.0	3.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0
CDA	5552.0	1484.0	63.0	370.0	1436.0	2786.0	3191.0	304.0	120.0	37.0	624.0	11.0
PINK1	1558.0	993.0	744.0	642.0	1086.0	1470.0	406.0	89.0	25.0	62.0	632.0	55.0
PINK1-AS	35.0	15.0	26.0	68.0	50.0	38.0	7.0	5.0	2.0	4.0	12.0	6.0
DDOST	1901.0	1557.0	2588.0	2480.0	3623.0	6087.0	875.0	845.0	588.0	380.0	3534.0	1180.0
KIF17	3.0	0.0	0.0	4.0	0.0	2.0	1.0	0.0	2.0	0.0	5.0	2.0
SH2D5	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0
AL663074.1	2.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0
HP1BP3	3628.0	1381.0	3577.0	8651.0	4102.0	4998.0	1359.0	678.0	408.0	414.0	2325.0	703.0
EIF4G3	1531.0	713.0	1330.0	1653.0	2203.0	2198.0	371.0	104.0	56.0	71.0	462.0	157.0
ECE1	2462.0	907.0	806.0	961.0	2142.0	2048.0	1265.0	130.0	53.0	119.0	379.0	174.0
AL031005.1	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0
AL031728.1	9.0	0.0	1.0	2.0	7.0	3.0	5.0	0.0	0.0	0.0	1.0	0.0
AL592309.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NBPF3	27.0	18.0	30.0	75.0	6.0	113.0	4.0	6.0	0.0	3.0	28.0	10.0
ALPL	6.0	2.0	1.0	31.0	1.0	2.0	1.0	4.0	0.0	2.0	3.0	0.0
AL359815.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RAP1GAP	795.0	105.0	87.0	100.0	347.0	310.0	152.0	105.0	9.0	64.0	507.0	127.0
USP48	781.0	409.0	1008.0	1995.0	1232.0	1225.0	277.0	158.0	170.0	101.0	796.0	231.0
LDLRAD2	14.0	0.0	5.0	14.0	3.0	8.0	4.0	0.0	1.0	0.0	3.0	1.0
HSPG2	1720.0	543.0	496.0	878.0	2075.0	744.0	566.0	230.0	101.0	84.0	721.0	221.0
CELA3B	243.0	31.0	0.0	6.0	52.0	8.0	50.0	136.0	0.0	0.0	4.0	0.0
CELA3A	44.0	2.0	0.0	1.0	22.0	3.0	6.0	263.0	2.0	0.0	3.0	0.0
LINC01635	22.0	1.0	4.0	2.0	13.0	7.0	1.0	1.0	0.0	0.0	5.0	1.0
CDC42	6893.0	4454.0	4646.0	25823.0	8385.0	10383.0	2507.0	1457.0	752.0	395.0	3122.0	681.0
AL031281.2	3.0	1.0	2.0	7.0	6.0	2.0	3.0	1.0	1.0	0.0	2.0	0.0
WNT4	67.0	6.0	4.0	32.0	21.0	9.0	9.0	3.0	1.0	0.0	19.0	5.0
ZBTB40	254.0	136.0	205.0	240.0	176.0	465.0	60.0	20.0	9.0	19.0	93.0	62.0
EPHA8	1.0	2.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0
C1QA	21.0	4.0	76.0	40.0	6.0	4.0	21.0	63.0	2.0	13.0	112.0	49.0
C1QC	28.0	1.0	102.0	13.0	26.0	10.0	27.0	20.0	1.0	9.0	126.0	55.0
C1QB	30.0	7.0	70.0	25.0	16.0	6.0	26.0	45.0	0.0	3.0	73.0	25.0
EPHB2	611.0	510.0	1905.0	2136.0	1883.0	1799.0	147.0	178.0	73.0	164.0	762.0	149.0
AL512444.1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LACTBL1	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TEX46	3.0	0.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0	1.0	3.0	1.0
KDM1A	392.0	338.0	886.0	1589.0	1268.0	934.0	114.0	151.0	52.0	121.0	946.0	187.0
AL031428.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LUZP1	1947.0	807.0	817.0	2359.0	1547.0	1818.0	684.0	200.0	97.0	88.0	430.0	176.0
HTR1D	0.0	1.0	0.0	6.0	14.0	13.0	0.0	0.0	0.0	0.0	0.0	1.0
LINC01355	32.0	45.0	58.0	80.0	97.0	51.0	3.0	7.0	22.0	2.0	12.0	27.0
AL109936.6	1.0	3.0	0.0	7.0	0.0	0.0	1.0	2.0	3.0	0.0	0.0	0.0
HNRNPR	1984.0	1246.0	3083.0	6660.0	3652.0	3881.0	623.0	695.0	667.0	335.0	2504.0	874.0
ZNF436	168.0	45.0	48.0	311.0	135.0	125.0	31.0	38.0	16.0	10.0	133.0	28.0
ZNF436-AS1	46.0	20.0	47.0	87.0	60.0	50.0	20.0	40.0	33.0	8.0	66.0	32.0
AL109936.2	21.0	25.0	20.0	49.0	31.0	24.0	4.0	5.0	0.0	0.0	3.0	1.0
TCEA3	4602.0	2680.0	4791.0	4849.0	4899.0	7710.0	1741.0	493.0	124.0	133.0	1329.0	155.0
ASAP3	254.0	105.0	155.0	223.0	382.0	327.0	77.0	22.0	3.0	4.0	67.0	11.0
E2F2	132.0	121.0	317.0	306.0	330.0	422.0	40.0	10.0	3.0	2.0	11.0	9.0
AL021154.1	8.0	2.0	8.0	8.0	2.0	6.0	0.0	3.0	0.0	0.0	1.0	0.0
ID3	15942.0	7459.0	2724.0	25839.0	5664.0	10212.0	10015.0	2143.0	188.0	917.0	8634.0	443.0
MDS2	1.0	0.0	1.0	6.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0
RPL11	70044.0	49481.0	80302.0	132483.0	109711.0	125908.0	24812.0	35065.0	19192.0	13054.0	108857.0	26260.0
ELOA	600.0	260.0	397.0	966.0	660.0	777.0	126.0	125.0	63.0	74.0	443.0	85.0
ELOA-AS1	95.0	56.0	68.0	116.0	74.0	102.0	12.0	46.0	21.0	10.0	171.0	93.0
PITHD1	1095.0	609.0	991.0	1423.0	1111.0	1697.0	366.0	233.0	159.0	188.0	1424.0	326.0
LYPLA2	2146.0	1074.0	1481.0	1539.0	2523.0	3315.0	756.0	302.0	215.0	124.0	1703.0	406.0
GALE	3126.0	1588.0	1671.0	2313.0	2370.0	3723.0	895.0	510.0	431.0	289.0	2416.0	823.0
HMGCL	1067.0	1044.0	1080.0	1350.0	1175.0	1807.0	404.0	413.0	309.0	144.0	1436.0	423.0
