	A26 (386C)	A30 (398B)	A32 (411C)	A33 (414C)	A34 (417C)	A38 (432C)	A39 (440C)	F66	F67	F72	F73	F78
LMX1B	2.0	1.0	0.0	1.0	1.0	1.0	0.0	3.0	0.0	1.0	8.0	0.0
ZBTB43	1451.0	490.0	407.0	704.0	847.0	809.0	349.0	339.0	46.0	120.0	363.0	140.0
ZBTB34	155.0	34.0	33.0	122.0	112.0	71.0	27.0	61.0	27.0	29.0	128.0	34.0
RALGPS1	645.0	266.0	407.0	436.0	557.0	818.0	170.0	126.0	55.0	46.0	382.0	221.0
ANGPTL2	3.0	4.0	2.0	44.0	3.0	4.0	0.0	8.0	13.0	0.0	5.0	1.0
AL450263.1	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
GARNL3	23.0	7.0	35.0	19.0	36.0	26.0	4.0	17.0	9.0	10.0	61.0	31.0
SLC2A8	418.0	219.0	373.0	334.0	510.0	630.0	101.0	135.0	55.0	182.0	1238.0	381.0
ZNF79	39.0	19.0	32.0	19.0	35.0	73.0	18.0	7.0	2.0	4.0	40.0	13.0
RPL12	65925.0	45538.0	75211.0	137327.0	115047.0	107757.0	27650.0	31754.0	17285.0	12551.0	94600.0	25557.0
LRSAM1	293.0	95.0	158.0	233.0	279.0	340.0	77.0	30.0	14.0	21.0	159.0	51.0
FAM129B	1672.0	999.0	1195.0	930.0	2288.0	1968.0	312.0	198.0	44.0	38.0	260.0	78.0
STXBP1	102.0	14.0	42.0	97.0	87.0	70.0	43.0	44.0	7.0	52.0	295.0	37.0
AL162426.1	5.0	4.0	0.0	5.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
PTRH1	249.0	206.0	338.0	415.0	324.0	441.0	61.0	76.0	32.0	24.0	365.0	48.0
CFAP157	11.0	4.0	5.0	21.0	7.0	17.0	5.0	2.0	0.0	1.0	4.0	2.0
TTC16	5.0	1.0	1.0	3.0	2.0	8.0	1.0	0.0	0.0	0.0	1.0	0.0
TOR2A	676.0	458.0	339.0	409.0	477.0	949.0	204.0	128.0	74.0	47.0	651.0	87.0
SH2D3C	6.0	2.0	2.0	40.0	11.0	6.0	4.0	9.0	3.0	1.0	15.0	1.0
CDK9	465.0	256.0	349.0	610.0	845.0	678.0	195.0	110.0	43.0	62.0	518.0	88.0
FPGS	403.0	260.0	660.0	579.0	1079.0	1109.0	148.0	72.0	31.0	56.0	450.0	108.0
ENG	33.0	8.0	17.0	389.0	6.0	29.0	5.0	13.0	9.0	3.0	29.0	3.0
AL162586.1	8.0	2.0	8.0	10.0	20.0	10.0	1.0	1.0	0.0	0.0	1.0	0.0
AK1	1778.0	675.0	253.0	574.0	336.0	427.0	157.0	24.0	11.0	4.0	36.0	3.0
AL157935.2	124.0	8.0	40.0	6.0	37.0	29.0	19.0	0.0	1.0	0.0	2.0	0.0
ST6GALNAC6	411.0	72.0	107.0	70.0	130.0	120.0	84.0	10.0	2.0	1.0	34.0	0.0
ST6GALNAC4	278.0	271.0	289.0	172.0	289.0	252.0	213.0	60.0	35.0	11.0	205.0	8.0
PIP5KL1	92.0	6.0	18.0	11.0	48.0	45.0	11.0	6.0	2.0	2.0	13.0	1.0
AL157935.1	8.0	1.0	4.0	9.0	4.0	6.0	2.0	3.0	0.0	0.0	3.0	1.0
DPM2	1062.0	517.0	983.0	1335.0	1124.0	1566.0	319.0	193.0	177.0	86.0	1158.0	302.0
FAM102A	3256.0	682.0	683.0	703.0	2576.0	2299.0	1781.0	155.0	18.0	71.0	280.0	105.0
AL360268.2	27.0	1.0	5.0	4.0	17.0	6.0	12.0	0.0	0.0	1.0	1.0	0.0
NAIF1	156.0	82.0	71.0	116.0	129.0	149.0	46.0	41.0	14.0	22.0	104.0	25.0
SLC25A25	2174.0	460.0	268.0	781.0	1523.0	1135.0	1187.0	334.0	16.0	196.0	345.0	85.0
