	A32 (411C)	A33 (414C)	A34 (417C)	A38 (432C)	A39 (440C)	F66	F67	F72	F73	F78
LINC01775	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	1.0
GADD45B	1900.0	34.0	3236.0	232.0	6601.0	1821.0	19.0	6509.0	429.0	454.0
GNG7	58.0	0.0	25.0	2.0	0.0	13.0	7.0	64.0	14.0	4.0
AC092068.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
DIRAS1	0.0	0.0	0.0	1.0	2.0	4.0	1.0	3.0	1.0	0.0
AC006538.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC39A3	372.0	6.0	234.0	26.0	88.0	933.0	89.0	238.0	255.0	155.0
SGTA	912.0	7.0	1041.0	144.0	573.0	1117.0	135.0	2000.0	1089.0	381.0
THOP1	1190.0	31.0	1132.0	134.0	1069.0	491.0	60.0	791.0	494.0	265.0
ZNF554	109.0	3.0	64.0	18.0	155.0	34.0	5.0	166.0	92.0	30.0
ZNF555	60.0	1.0	101.0	14.0	38.0	50.0	6.0	150.0	47.0	30.0
AC006130.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF556	0.0	2.0	4.0	0.0	1.0	28.0	2.0	2.0	0.0	0.0
ZNF57	308.0	4.0	401.0	58.0	309.0	320.0	65.0	1498.0	727.0	190.0
AC119403.1	4.0	0.0	5.0	1.0	2.0	1.0	0.0	4.0	3.0	1.0
ZNF77	123.0	1.0	131.0	22.0	73.0	142.0	9.0	233.0	120.0	87.0
