	A32 (411C)	A33 (414C)	A34 (417C)	A38 (432C)	A39 (440C)	F66	F67	F72	F73	F78
OR9I1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR9Q2	2.0	0.0	0.0	0.0	5.0	0.0	0.0	2.0	0.0	0.0
OR1S2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR1S1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR10Q1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR10W1	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR5B17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR5B3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR5B2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR5B12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP003557.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
OR5B21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LPXN	252.0	1.0	125.0	25.0	60.0	173.0	34.0	342.0	279.0	156.0
ZFP91	1737.0	5.0	1051.0	101.0	152.0	759.0	227.0	1743.0	740.0	339.0
ZFP91-CNTF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP001350.1	10.0	0.0	5.0	0.0	0.0	0.0	0.0	10.0	2.0	0.0
CNTF	10.0	0.0	4.0	4.0	0.0	0.0	0.0	11.0	2.0	2.0
GLYAT	0.0	0.0	0.0	0.0	0.0	10.0	3.0	22.0	36.0	1.0
GLYATL2	1.0	0.0	1.0	0.0	0.0	6.0	1.0	4.0	1.0	1.0
GLYATL1	21.0	0.0	29.0	0.0	1.0	137.0	57.0	281.0	154.0	53.0
AP001652.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0
AP001636.3	15.0	0.0	5.0	0.0	1.0	13.0	1.0	83.0	36.0	27.0
GLYATL1B	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FAM111B	710.0	2.0	108.0	2.0	58.0	290.0	41.0	169.0	156.0	201.0
FAM111A-DT	104.0	1.0	45.0	7.0	17.0	197.0	59.0	447.0	493.0	117.0
FAM111A	1245.0	2.0	687.0	105.0	253.0	812.0	235.0	2220.0	1254.0	647.0
DTX4	677.0	3.0	558.0	78.0	191.0	242.0	58.0	785.0	300.0	209.0
MPEG1	19.0	0.0	3.0	1.0	0.0	5.0	0.0	51.0	9.0	25.0
AP002358.1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
OR5AN1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR5A2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR5A1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR4D6	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
OR4D10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR4D11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR4D9	1.0	0.0	0.0	0.0	0.0	27.0	6.0	0.0	0.0	0.0
AP000442.1	2.0	0.0	1.0	0.0	1.0	19.0	0.0	12.0	3.0	3.0
OSBP	1457.0	9.0	1332.0	165.0	402.0	543.0	157.0	2274.0	1151.0	384.0
AP000442.2	20.0	0.0	10.0	2.0	2.0	27.0	1.0	15.0	16.0	9.0
PATL1	799.0	5.0	908.0	134.0	158.0	511.0	164.0	4203.0	1258.0	295.0
OR10V1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
STX3	1088.0	8.0	1638.0	205.0	383.0	1175.0	400.0	14445.0	3317.0	670.0
AP000640.1	4.0	0.0	7.0	0.0	6.0	4.0	1.0	50.0	16.0	8.0
MRPL16	3281.0	19.0	1947.0	222.0	508.0	2582.0	548.0	6841.0	5544.0	1567.0
GIF	3.0	0.0	3.0	0.0	4.0	1.0	4.0	7.0	18.0	0.0
TCN1	1.0	0.0	9.0	1.0	0.0	3.0	0.0	0.0	5.0	1.0
AP002347.1	2.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
AP000790.3	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0
AP000790.4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
AP000790.2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OOSP2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MS4A3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
MS4A2	6.0	0.0	0.0	0.0	2.0	2.0	1.0	1.0	0.0	1.0
AP001257.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MS4A6A	66.0	1.0	15.0	1.0	7.0	57.0	7.0	264.0	82.0	71.0
MS4A4E	5.0	0.0	3.0	0.0	0.0	0.0	0.0	8.0	2.0	2.0
MS4A4A	13.0	2.0	3.0	1.0	4.0	12.0	1.0	129.0	12.0	25.0
MS4A6E	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MS4A7	32.0	0.0	3.0	0.0	5.0	17.0	0.0	124.0	19.0	41.0
MS4A14	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0
MS4A5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MS4A1	10.0	0.0	23.0	0.0	1.0	7.0	0.0	11.0	10.0	6.0
MS4A12	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
MS4A13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MS4A8	3524.0	20.0	3963.0	983.0	2549.0	3481.0	235.0	5973.0	3283.0	995.0
MS4A18	2.0	0.0	20.0	11.0	13.0	3.0	0.0	4.0	6.0	5.0
MS4A15	4.0	2.0	8.0	6.0	61.0	0.0	0.0	7.0	0.0	0.0
MS4A10	231.0	20.0	735.0	222.0	942.0	12.0	0.0	7.0	24.0	5.0
AP000777.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP000777.2	0.0	0.0	1.0	2.0	0.0	0.0	0.0	7.0	5.0	0.0
AP000777.3	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0
CCDC86	394.0	2.0	330.0	40.0	92.0	834.0	73.0	1520.0	912.0	236.0
PTGDR2	19.0	0.0	2.0	1.0	12.0	10.0	0.0	44.0	26.0	8.0
ZP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
PRPF19	1577.0	6.0	745.0	105.0	274.0	2162.0	413.0	4100.0	2707.0	1034.0
AP003721.4	7.0	0.0	1.0	1.0	5.0	3.0	0.0	24.0	21.0	11.0
AP003721.3	0.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0
TMEM109	534.0	1.0	423.0	28.0	106.0	776.0	84.0	1219.0	913.0	308.0
AP003721.1	0.0	0.0	0.0	0.0	3.0	2.0	0.0	1.0	0.0	1.0
TMEM132A	40.0	0.0	29.0	0.0	12.0	58.0	20.0	178.0	141.0	42.0
SLC15A3	24.0	0.0	102.0	8.0	36.0	9.0	4.0	31.0	34.0	13.0
CD6	8.0	1.0	2.0	0.0	3.0	9.0	2.0	12.0	7.0	3.0
AP003721.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD5	4.0	0.0	9.0	0.0	4.0	2.0	0.0	5.0	8.0	0.0
VPS37C	389.0	5.0	451.0	78.0	168.0	529.0	57.0	1587.0	665.0	256.0
PGA3	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0
PGA4	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PGA5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VWCE	7.0	0.0	26.0	15.0	17.0	106.0	12.0	199.0	87.0	38.0
DDB1	2562.0	11.0	2615.0	344.0	580.0	1596.0	330.0	3642.0	2659.0	905.0
TKFC	5807.0	26.0	4860.0	1096.0	2266.0	4314.0	339.0	6355.0	4361.0	2077.0
CYB561A3	942.0	3.0	554.0	127.0	359.0	659.0	64.0	626.0	467.0	286.0
TMEM138	873.0	2.0	793.0	143.0	179.0	870.0	71.0	999.0	812.0	349.0
TMEM216	424.0	1.0	464.0	32.0	97.0	985.0	197.0	2670.0	1703.0	511.0
CPSF7	1266.0	8.0	1305.0	191.0	288.0	824.0	110.0	2701.0	1261.0	424.0
AP003108.2	64.0	0.0	53.0	8.0	16.0	25.0	3.0	76.0	42.0	22.0
SDHAF2	632.0	4.0	413.0	51.0	182.0	1693.0	252.0	790.0	485.0	226.0
PPP1R32	26.0	0.0	19.0	2.0	7.0	12.0	5.0	48.0	13.0	11.0
AP003108.1	1.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	5.0	1.0
LRRC10B	7.0	0.0	1.0	0.0	4.0	4.0	0.0	13.0	5.0	6.0
SYT7	40.0	0.0	31.0	4.0	32.0	83.0	5.0	126.0	57.0	35.0
AP003559.1	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0
AP002754.1	0.0	0.0	0.0	0.0	4.0	4.0	0.0	1.0	0.0	1.0
AP002754.2	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	1.0	1.0
DAGLA	253.0	0.0	127.0	5.0	16.0	94.0	26.0	1464.0	232.0	80.0
DKFZP434K028	4.0	0.0	3.0	0.0	7.0	1.0	0.0	8.0	0.0	0.0
MYRF	740.0	6.0	2412.0	191.0	272.0	331.0	61.0	1773.0	722.0	278.0
TMEM258	11907.0	54.0	11081.0	735.0	2064.0	15398.0	2946.0	36653.0	20161.0	6242.0
FEN1	781.0	1.0	297.0	22.0	57.0	748.0	39.0	545.0	545.0	328.0
FADS2	29.0	1.0	19.0	0.0	28.0	28.0	7.0	53.0	48.0	150.0
FADS1	34.0	1.0	24.0	8.0	105.0	39.0	13.0	46.0	63.0	36.0
FADS3	66.0	0.0	70.0	8.0	108.0	69.0	15.0	243.0	104.0	27.0
RAB3IL1	2.0	0.0	5.0	0.0	1.0	121.0	57.0	1593.0	469.0	58.0
BEST1	439.0	0.0	302.0	105.0	96.0	104.0	12.0	609.0	308.0	41.0
FTH1	196174.0	845.0	249210.0	40526.0	50490.0	211749.0	31129.0	803030.0	361617.0	97986.0
AP003733.3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	10.0	3.0	0.0
INCENP	166.0	1.0	152.0	24.0	60.0	46.0	23.0	390.0	173.0	94.0
SCGB1D1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCGB2A1	35.0	0.0	15.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
AP003306.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCGB1D2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCGB2A2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCGB1D4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP003306.2	7.0	0.0	3.0	0.0	26.0	9.0	0.0	5.0	6.0	1.0
ASRGL1	793.0	2.0	406.0	8.0	55.0	133.0	23.0	196.0	281.0	153.0
AP003064.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCGB1A1	8.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
AP003064.2	2.0	0.0	3.0	0.0	7.0	1.0	0.0	8.0	2.0	0.0
AHNAK	5487.0	64.0	9637.0	2515.0	3522.0	1260.0	181.0	5733.0	2075.0	1344.0
AP001363.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
AP001363.2	1.0	0.0	2.0	0.0	3.0	1.0	0.0	6.0	0.0	2.0
EEF1G	19671.0	6.0	1228.0	56.0	199.0	751.0	281.0	1981.0	1573.0	13610.0
AP002990.1	41.0	0.0	15.0	0.0	31.0	1.0	0.0	57.0	42.0	32.0
TUT1	185.0	1.0	161.0	13.0	76.0	292.0	39.0	331.0	170.0	146.0
MTA2	382.0	17.0	438.0	51.0	128.0	187.0	18.0	503.0	260.0	97.0
EML3	330.0	1.0	513.0	40.0	117.0	90.0	12.0	322.0	130.0	92.0
AP001458.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ROM1	34.0	0.0	53.0	6.0	18.0	65.0	2.0	120.0	66.0	25.0
B3GAT3	1040.0	5.0	875.0	74.0	275.0	1263.0	205.0	2460.0	1818.0	654.0
GANAB	2039.0	8.0	1666.0	197.0	377.0	1978.0	432.0	4219.0	2422.0	946.0
INTS5	239.0	0.0	228.0	26.0	41.0	283.0	37.0	474.0	282.0	171.0
AP001458.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C11orf98	2286.0	3.0	423.0	17.0	144.0	108.0	30.0	508.0	386.0	929.0
LBHD1	59.0	0.0	36.0	10.0	36.0	9.0	1.0	54.0	42.0	27.0
CSKMT	1038.0	4.0	1135.0	49.0	1168.0	1565.0	314.0	2132.0	606.0	521.0
UQCC3	2695.0	22.0	2814.0	286.0	846.0	2851.0	539.0	4532.0	3518.0	936.0
UBXN1	3683.0	17.0	3312.0	578.0	1422.0	5738.0	1008.0	12609.0	8373.0	2303.0
LRRN4CL	17.0	0.0	3.0	0.0	1.0	7.0	3.0	24.0	4.0	6.0
BSCL2	578.0	0.0	142.0	18.0	176.0	101.0	15.0	714.0	435.0	405.0
HNRNPUL2-BSCL2	33.0	0.0	21.0	2.0	5.0	0.0	0.0	67.0	39.0	7.0
GNG3	3.0	0.0	0.0	0.0	1.0	13.0	4.0	11.0	3.0	2.0
HNRNPUL2	1339.0	16.0	1233.0	99.0	238.0	935.0	213.0	1633.0	872.0	325.0
TTC9C	560.0	6.0	443.0	95.0	206.0	678.0	179.0	2204.0	1328.0	468.0
ZBTB3	85.0	0.0	31.0	10.0	37.0	75.0	11.0	156.0	78.0	40.0
POLR2G	2145.0	8.0	1327.0	198.0	383.0	3748.0	843.0	6594.0	5947.0	1282.0
AP001160.2	4.0	0.0	8.0	0.0	5.0	46.0	8.0	20.0	7.0	6.0
TAF6L	400.0	0.0	299.0	24.0	139.0	30.0	7.0	1132.0	485.0	153.0
TMEM223	1446.0	7.0	1271.0	132.0	263.0	1710.0	298.0	3620.0	2443.0	806.0
AP001160.3	58.0	0.0	41.0	5.0	23.0	4.0	1.0	26.0	15.0	15.0
TMEM179B	3826.0	6.0	3665.0	451.0	676.0	3787.0	521.0	10984.0	7346.0	2192.0
NXF1	644.0	6.0	736.0	126.0	935.0	816.0	84.0	1817.0	769.0	264.0
STX5	774.0	4.0	761.0	125.0	393.0	1097.0	192.0	2653.0	1524.0	439.0
AP001160.1	62.0	2.0	24.0	0.0	34.0	429.0	15.0	28.0	8.0	33.0
TEX54	3.0	0.0	0.0	0.0	4.0	1.0	0.0	13.0	1.0	0.0
WDR74	1013.0	5.0	738.0	89.0	385.0	1434.0	229.0	4851.0	1595.0	598.0
SLC3A2	1669.0	12.0	2744.0	448.0	1177.0	6469.0	950.0	27525.0	10817.0	2820.0
CHRM1	3.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	4.0	3.0
AP000438.1	3.0	0.0	2.0	0.0	0.0	7.0	0.0	4.0	6.0	0.0
SLC22A6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC22A8	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0
SLC22A24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
SLC22A10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC22A25	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC22A9	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	1.0	1.0
HRASLS5	1.0	0.0	1.0	0.0	0.0	3.0	3.0	0.0	0.0	1.0
LGALS12	1.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0
RARRES3	1788.0	9.0	2934.0	579.0	1384.0	219.0	39.0	361.0	642.0	83.0
HRASLS2	233.0	10.0	633.0	175.0	218.0	12.0	0.0	11.0	1.0	2.0
PLA2G16	281.0	2.0	946.0	220.0	270.0	79.0	6.0	110.0	78.0	32.0
AP000753.1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATL3	581.0	2.0	648.0	95.0	177.0	175.0	42.0	406.0	227.0	122.0
AP000753.2	2.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
RTN3	4268.0	21.0	2934.0	292.0	817.0	3479.0	717.0	7294.0	4059.0	1569.0
C11orf95	98.0	0.0	41.0	3.0	0.0	301.0	29.0	538.0	258.0	263.0
SPINDOC	57.0	2.0	51.0	1.0	17.0	37.0	7.0	191.0	115.0	41.0
MARK2	1253.0	7.0	1768.0	262.0	455.0	736.0	109.0	3771.0	769.0	448.0
RCOR2	31.0	0.0	27.0	1.0	11.0	66.0	7.0	110.0	81.0	24.0
NAA40	344.0	1.0	715.0	135.0	119.0	191.0	45.0	487.0	290.0	141.0
COX8A	25752.0	91.0	25038.0	2571.0	4904.0	16751.0	2836.0	35581.0	24469.0	7641.0
AP000721.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTUB1	2757.0	11.0	2917.0	446.0	812.0	2677.0	549.0	9252.0	6143.0	1780.0
MACROD1	1278.0	0.0	1535.0	74.0	171.0	102.0	33.0	2906.0	2017.0	398.0
AP000721.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
AP006333.2	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0
FLRT1	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0
AP006333.1	5.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0
STIP1	1632.0	33.0	2647.0	250.0	1919.0	2574.0	281.0	5838.0	2853.0	835.0
FERMT3	526.0	2.0	613.0	49.0	236.0	530.0	79.0	2215.0	862.0	278.0
TRPT1	1393.0	6.0	1798.0	220.0	514.0	916.0	143.0	3526.0	2093.0	716.0
NUDT22	1778.0	7.0	1744.0	236.0	501.0	1013.0	129.0	1714.0	1206.0	489.0
AP001453.1	26.0	0.0	6.0	1.0	20.0	16.0	0.0	93.0	20.0	10.0
DNAJC4	1896.0	5.0	1734.0	222.0	699.0	1570.0	276.0	3803.0	2877.0	839.0
VEGFB	383.0	0.0	414.0	57.0	161.0	466.0	109.0	2329.0	1005.0	223.0
FKBP2	7222.0	65.0	7952.0	1003.0	3605.0	8001.0	1163.0	13290.0	8350.0	2825.0
PPP1R14B	2378.0	11.0	4333.0	252.0	410.0	713.0	84.0	1851.0	1097.0	227.0
AP001453.2	139.0	2.0	289.0	28.0	34.0	60.0	15.0	76.0	51.0	11.0
AP001453.4	18.0	0.0	30.0	14.0	64.0	19.0	1.0	165.0	89.0	38.0
PLCB3	6177.0	51.0	6797.0	691.0	1241.0	1185.0	265.0	4606.0	2835.0	852.0
BAD	1589.0	6.0	1560.0	219.0	665.0	1588.0	303.0	2853.0	2069.0	476.0
GPR137	332.0	2.0	262.0	60.0	193.0	255.0	29.0	447.0	283.0	137.0
KCNK4	3.0	0.0	1.0	0.0	2.0	1.0	0.0	4.0	0.0	2.0
CATSPERZ	17.0	0.0	40.0	1.0	3.0	18.0	1.0	19.0	10.0	9.0
ESRRA	2210.0	32.0	3554.0	509.0	957.0	1444.0	187.0	1967.0	723.0	412.0
TRMT112	4003.0	20.0	4452.0	316.0	914.0	7223.0	1576.0	24690.0	12348.0	3552.0
PRDX5	22563.0	38.0	16834.0	1918.0	4882.0	14926.0	2162.0	32729.0	18439.0	6401.0
AP003774.4	163.0	0.0	56.0	0.0	12.0	2.0	0.0	2.0	0.0	0.0
CCDC88B	473.0	3.0	1092.0	128.0	197.0	206.0	20.0	456.0	159.0	37.0
RPS6KA4	455.0	4.0	956.0	59.0	165.0	438.0	26.0	662.0	211.0	167.0
AP003774.3	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	2.0
AP003774.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP003774.1	1.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	1.0
AP005273.1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
SLC22A11	0.0	0.0	4.0	0.0	0.0	3.0	0.0	15.0	11.0	0.0
SLC22A12	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0
NRXN2	14.0	0.0	10.0	12.0	9.0	147.0	9.0	163.0	87.0	37.0
AP001092.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RASGRP2	10.0	1.0	25.0	1.0	1.0	83.0	24.0	250.0	90.0	33.0
PYGM	34.0	0.0	5.0	2.0	7.0	25.0	0.0	42.0	2.0	7.0
SF1	7003.0	34.0	4930.0	557.0	1421.0	3844.0	829.0	8834.0	5197.0	2360.0
AP001462.1	69.0	0.0	11.0	2.0	41.0	32.0	2.0	34.0	22.0	20.0
MAP4K2	99.0	0.0	137.0	14.0	34.0	124.0	11.0	274.0	132.0	88.0
MEN1	226.0	1.0	402.0	47.0	128.0	384.0	35.0	883.0	540.0	138.0
CDC42BPG	541.0	6.0	873.0	130.0	185.0	46.0	4.0	198.0	71.0	45.0
EHD1	547.0	4.0	1735.0	143.0	641.0	1458.0	124.0	3254.0	1131.0	374.0
MIR194-2HG	2348.0	24.0	8579.0	662.0	270.0	975.0	84.0	4725.0	1232.0	1574.0
ATG2A	462.0	2.0	556.0	88.0	453.0	315.0	36.0	1002.0	329.0	165.0
PPP2R5B	105.0	5.0	468.0	36.0	125.0	72.0	15.0	302.0	62.0	47.0
GPHA2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0
MAJIN	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	3.0	1.0
BATF2	133.0	1.0	113.0	17.0	50.0	305.0	28.0	906.0	191.0	93.0
ARL2	2151.0	8.0	580.0	52.0	342.0	3680.0	732.0	1339.0	847.0	1428.0
ARL2-SNX15	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0
SNX15	25.0	1.0	23.0	2.0	8.0	38.0	7.0	75.0	59.0	12.0
SAC3D1	478.0	3.0	320.0	34.0	168.0	120.0	16.0	889.0	817.0	221.0
NAALADL1	2958.0	21.0	2525.0	438.0	1477.0	86.0	20.0	271.0	147.0	20.0
CDCA5	305.0	2.0	96.0	4.0	27.0	216.0	38.0	555.0	272.0	132.0
ZFPL1	1182.0	5.0	1045.0	114.0	404.0	978.0	176.0	2571.0	1674.0	617.0
TMEM262	10.0	0.0	5.0	2.0	6.0	3.0	0.0	6.0	8.0	1.0
VPS51	3467.0	3.0	3106.0	352.0	917.0	1949.0	283.0	3701.0	2107.0	1331.0
AP003068.1	5.0	0.0	6.0	1.0	8.0	5.0	0.0	5.0	2.0	1.0
TM7SF2	945.0	3.0	499.0	48.0	441.0	2585.0	289.0	4145.0	3107.0	1202.0
ZNHIT2	322.0	2.0	340.0	24.0	156.0	417.0	49.0	615.0	363.0	164.0
AP003068.3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAU	63161.0	223.0	69140.0	5922.0	13105.0	76577.0	16117.0	206777.0	143154.0	36793.0
SYVN1	967.0	9.0	1750.0	141.0	274.0	444.0	53.0	2058.0	602.0	221.0
MRPL49	683.0	1.0	494.0	107.0	159.0	884.0	104.0	1474.0	913.0	283.0
SPDYC	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AP003068.2	566.0	1.0	346.0	69.0	42.0	11.0	0.0	139.0	92.0	36.0
CAPN1	3435.0	16.0	3463.0	430.0	961.0	2553.0	217.0	3598.0	1948.0	932.0
POLA2	259.0	3.0	165.0	15.0	34.0	223.0	41.0	208.0	334.0	149.0
CDC42EP2	149.0	6.0	844.0	127.0	632.0	476.0	87.0	3077.0	652.0	328.0
DPF2	608.0	6.0	658.0	94.0	207.0	735.0	157.0	2827.0	1695.0	521.0
TIGD3	103.0	0.0	82.0	40.0	70.0	68.0	2.0	205.0	28.0	23.0
AP000944.1	41.0	0.0	27.0	28.0	52.0	2.0	0.0	11.0	8.0	4.0
SLC25A45	748.0	8.0	902.0	86.0	468.0	868.0	83.0	1186.0	615.0	438.0
FRMD8	643.0	8.0	1277.0	153.0	338.0	410.0	44.0	619.0	302.0	145.0
NEAT1	39297.0	601.0	87773.0	11858.0	18214.0	17425.0	3020.0	80858.0	26927.0	9358.0
AP000769.3	3.0	0.0	2.0	1.0	2.0	1.0	0.0	3.0	4.0	4.0
MALAT1	520371.0	11573.0	605230.0	100910.0	431011.0	578082.0	99108.0	692474.0	186348.0	136523.0
AP000769.2	8.0	0.0	5.0	0.0	6.0	6.0	1.0	22.0	9.0	4.0
SCYL1	790.0	3.0	1170.0	130.0	586.0	785.0	99.0	2277.0	976.0	432.0
LTBP3	745.0	4.0	690.0	89.0	542.0	434.0	86.0	2470.0	1244.0	587.0
SSSCA1	1276.0	1.0	942.0	94.0	224.0	1050.0	243.0	3463.0	1839.0	520.0
FAM89B	108.0	4.0	228.0	7.0	64.0	59.0	21.0	143.0	73.0	34.0
EHBP1L1	665.0	0.0	2360.0	216.0	579.0	95.0	13.0	1089.0	224.0	129.0
KCNK7	12.0	0.0	10.0	3.0	11.0	5.0	0.0	23.0	1.0	3.0
MAP3K11	1597.0	9.0	1838.0	239.0	1011.0	634.0	95.0	3329.0	998.0	539.0
PCNX3	755.0	1.0	884.0	66.0	157.0	185.0	27.0	509.0	217.0	169.0
SIPA1	258.0	1.0	414.0	57.0	261.0	310.0	21.0	1471.0	829.0	276.0
RELA	812.0	4.0	1118.0	104.0	217.0	677.0	106.0	2606.0	945.0	378.0
KAT5	780.0	1.0	498.0	64.0	270.0	1026.0	188.0	2783.0	1221.0	418.0
RNASEH2C	1633.0	7.0	1463.0	210.0	439.0	2624.0	484.0	5031.0	2974.0	517.0
AP001266.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP5B1	131.0	0.0	349.0	45.0	77.0	82.0	7.0	600.0	174.0	106.0
OVOL1	415.0	2.0	596.0	81.0	308.0	1174.0	110.0	3164.0	812.0	348.0
OVOL1-AS1	2.0	0.0	3.0	2.0	2.0	9.0	0.0	6.0	4.0	0.0
AP001266.1	3.0	0.0	1.0	1.0	4.0	5.0	0.0	14.0	10.0	4.0
CFL1	49025.0	212.0	50917.0	7021.0	10373.0	52158.0	7201.0	94031.0	62258.0	20432.0
SNX32	135.0	0.0	193.0	16.0	40.0	41.0	21.0	219.0	413.0	95.0
MUS81	702.0	3.0	1183.0	159.0	295.0	649.0	78.0	1520.0	619.0	314.0
EFEMP2	30.0	0.0	9.0	1.0	8.0	131.0	78.0	180.0	193.0	13.0
CTSW	4.0	0.0	0.0	1.0	1.0	8.0	2.0	5.0	2.0	2.0
