gene	Fetal	Placenta	Adult	marker
ACP2	0.09712071839561241	0.7507846190812786	0.15209466252310916	
ACP5	0.04979840520096551	0.9004031895980689	0.04979840520096551	
ACP6	0.633085815662691	0.02990776672796236	0.33700641760934663	
ACPP	0.03188680850098563	0.1760307754979702	0.7920824160010441	
ACSF2	0.0681327078039387	0.07125980917502481	0.8606074830210366	
ACSF3	0.18515122358918976	0.019198451736123057	0.7956503246746871	
ACSL1	0.029833330769804326	0.4854063719242741	0.48476029730592163	
ACSL3	0.04327244590192048	0.48263030886994207	0.4740972452281374	
ACSL4	0.01996466898097676	0.9600706620380466	0.01996466898097676	
ACSL5	0.01907000895850594	0.01907000895850594	0.9618599820829881	
ACSL6	0.029907425205346446	0.029907425205346446	0.9401851495893071	
ACSM3	0.06434251478901272	0.06434251478901272	0.8713149704219746	
ACSS1	0.43363221648577194	0.033204283549969446	0.5331634999642586	
ACSS2	0.02017769397010573	0.02017769397010573	0.9596446120597885	
ACSS3	0.9700778218716578	0.01496108906417107	0.01496108906417107	
ACTA2	0.40389141164182457	0.5751079706716014	0.02100061768657408	
ACTB	0.034268193472629736	0.9314636130547405	0.034268193472629736	
ACTG1	0.04022169180255939	0.9195566163948812	0.04022169180255939	
ACTG2	0.7082624515101799	0.28165894545497344	0.010078603034846811	
ACTL10	0.02822411143200563	0.29281625453758536	0.678959634030409	
ACTL6A	0.8976040934424506	0.051197953278774626	0.051197953278774626	
ACTN1	0.03362856384583583	0.9327428723083283	0.03362856384583583	
ACTN4	0.059772083050897346	0.4558469010995401	0.48438101584956245	
ACTR10	0.13124323564054363	0.7375135287189128	0.13124323564054363	
ACTR1A	0.07159773788416826	0.8568045242316634	0.07159773788416826	
ACTR1B	0.3193489323177734	0.0907731491980028	0.5898779184842237	
ACTR2	0.1290154349993873	0.1290154349993873	0.7419691300012253	
ACTR3	0.04143823772339976	0.9171235245532005	0.04143823772339976	
ACTR3B	0.9423024749443032	0.02884876252784836	0.02884876252784836	
ACTR3C	0.03786604578898094	0.03786604578898094	0.9242679084220381	
ACTR5	0.24537039280398726	0.0740197953393947	0.6806098118566182	
ACTR6	0.7707785577543839	0.11461072112280811	0.11461072112280811	
ACTR8	0.6463093264604405	0.10516432109313174	0.24852635244642782	
ACTRT3	0.09860572707618608	0.44517385454209224	0.45622041838172156	
ACVR1	0.0659877378621709	0.8680245242756581	0.0659877378621709	
ACVR1B	0.6544055816349539	0.015753704871210195	0.329840713493836	
ACVR1C	0.6093577167754733	0.007960502643153115	0.3826817805813736	
ACVR2A	0.33766353582479197	0.03665903029053385	0.6256774338846742	
ACVR2B	0.5595601829185888	0.39237097274682226	0.04806884433458884	
ACVRL1	0.02323915999515975	0.5458150704449021	0.4309457695599382	
ACY1	0.40303133881351333	0.011133489649850037	0.5858351715366366	
ACY3	0.5398591538007149	0.0068996490363356046	0.4532411971629494	
ACYP1	0.7070599443878995	0.035195809074503474	0.2577442465375969	
ACYP2	0.1021670315463365	0.1021670315463365	0.795665936907327	
ADA	0.024783026575050587	0.6575979493465619	0.3176190240783875	
ADAL	0.5335590430712844	0.062279549404900235	0.4041614075238154	
ADAM10	0.04725710057499935	0.9054857988500012	0.04725710057499935	
ADAM12	0.009708737864077669	0.9805825242718447	0.009708737864077669	
