gene	Fetal	Placenta	Adult	marker
C2	0.976881671267609	0.011559164366195446	0.011559164366195446	
MUC4	0.007148700456210933	0.2708325534664848	0.7220187460773042	
FRAS1	0.6432742248408883	0.3480840464199239	0.008641728739187744	
SEMA3D	0.9805825242718447	0.009708737864077669	0.009708737864077669	
TRABD2B	0.9805825242718447	0.009708737864077669	0.009708737864077669	
S100A9	0.9805825242718447	0.009708737864077669	0.009708737864077669	
MB21D2	0.44067342841116725	0.5525118212174602	0.00681475037137242	
TTYH1	0.9779736973048844	0.011013151347557808	0.011013151347557808	
DPP4	0.9665195181802033	0.01674024090989833	0.01674024090989833	
BEX4	0.4331254855367675	0.5597211116055916	0.007153402857640959	
SLC22A17	0.9805825242718447	0.009708737864077669	0.009708737864077669	
MRO	0.9805825242718447	0.009708737864077669	0.009708737864077669	
SUSD2	0.9341125058524244	0.05663885547576941	0.009248638671806182	
TMEM8B	0.96474954967013	0.017625225164934945	0.017625225164934945	
C2orf74	0.9805825242718447	0.009708737864077669	0.009708737864077669	
GNS	0.9622176043465929	0.01889119782670357	0.01889119782670357	
MFGE8	0.9784878484730168	0.010756075763491555	0.010756075763491555	
ARAP2	0.013825358855708209	0.013825358855708209	0.9723492822885835	
PLAG1	0.5818810086353281	0.41149842324369673	0.006620568120975018	
LRRK1	0.011553572420545166	0.011553572420545166	0.9768928551589097	
GPC3	0.9706553518482196	0.019734199123580237	0.009610449028200194	
RAB34	0.9791981168519496	0.01040094157402519	0.01040094157402519	
GPC6	0.9805825242718447	0.009708737864077669	0.009708737864077669	
GPT	0.007173128184187296	0.26834092521289576	0.7244859466029169	
TPD52L1	0.7099612338260224	0.27989800790517355	0.010140758268804074	
NUPR1	0.009708737864077669	0.009708737864077669	0.9805825242718447	
TSPO	0.009708737864077669	0.009708737864077669	0.9805825242718447	
MLXIPL	0.9716987677018121	0.014150616149093942	0.014150616149093942	
TENM3	0.49753694581280794	0.49753694581280794	0.004926108374384237	
GJA1	0.9805825242718447	0.009708737864077669	0.009708737864077669	
ADAM15	0.009862326839397697	0.020127646620165664	0.9700100265404367	
LIFR	0.5777668221559972	0.41651271425829983	0.005720463585702943	
MAF	0.9805825242718447	0.009708737864077669	0.009708737864077669	
PIK3CD-AS2	0.9805271974209493	0.009736401289525338	0.009736401289525338	
TPBG	0.005868801638017495	0.4370816744453351	0.5570495239166474	
EVA1C	0.009708737864077669	0.009708737864077669	0.9805825242718447	
LGR5	0.6005147685855858	0.393237743492799	0.006247487921615217	
COL6A1	0.9805825242718447	0.009708737864077669	0.009708737864077669	
ISYNA1	0.5849840394836593	0.4072666545547395	0.007749305961601212	
ADAMTSL5	0.9721156443814692	0.01394217780926534	0.01394217780926534	
DMKN	0.9730386294303621	0.013480685284818926	0.013480685284818926	
EFEMP2	0.9743741653354479	0.012812917332276056	0.012812917332276056	
TCEA2	0.975853556761976	0.01207322161901197	0.01207322161901197	
BNIP3	0.9775837549405884	0.011208122529705817	0.011208122529705817	
CCL28	0.00733925124651589	0.25139637285537914	0.7412643758981049	
MAGED2	0.9657035136873029	0.017148243156348553	0.017148243156348553	
LAMA5	0.6944351882847006	0.2977996023773378	0.0077652093379615905	
MAMDC4	0.7349674375296855	0.2568456320319633	0.008186930438351073	
APH1B	0.9663650644762274	0.016817467761886296	0.016817467761886296	
ARMCX1	0.978396659568898	0.010801670215551023	0.010801670215551023	
TFPI	0.6202945384033708	0.3706601378157248	0.009045323780904396	
OLFML2B	0.979410067634272	0.010294966182864029	0.010294966182864029	
FXYD5	0.9785396877871534	0.01073015610642331	0.01073015610642331	
IL34	0.9792186462519935	0.010390676874003232	0.010390676874003232	
LINC01503	0.9798508462322735	0.010074576883863269	0.010074576883863269	
KLF9	0.009708737864077669	0.009708737864077669	0.9805825242718447	
MFAP4	0.9805825242718447	0.009708737864077669	0.009708737864077669	
PTK6	0.009708737864077669	0.009708737864077669	0.9805825242718447	
ALPK3	0.9777085095317972	0.0111457452341014	0.0111457452341014	
HILPDA	0.6227105630350203	0.36986730517089267	0.007422131794087014	
CARD11	0.9805825242718447	0.009708737864077669	0.009708737864077669	
ATP6V1B2	0.9548851513233851	0.02255742433830739	0.02255742433830739	
C12orf49	0.8049185576749485	0.1757705279681266	0.01931091435692483	
PHGDH	0.8010711607478067	0.19099744162102686	0.007931397631166404	
TMEM92	0.9744203693079408	0.012789815346029592	0.012789815346029592	
CCL2	0.9805825242718447	0.009708737864077669	0.009708737864077669	
VSTM2L	0.9758013541922425	0.012099322903878787	0.012099322903878787	
EGFLAM	0.9805825242718447	0.009708737864077669	0.009708737864077669	
ROBO2	0.9805825242718447	0.009708737864077669	0.009708737864077669	
LDOC1	0.9805825242718447	0.009708737864077669	0.009708737864077669	
SUPT3H	0.9662248323454743	0.016887583827262864	0.016887583827262864	
FSIP2	0.009708737864077669	0.009708737864077669	0.9805825242718447	
AC004540.2	0.9769064586477487	0.011546770676125605	0.011546770676125605	
RAB29	0.9695281541667868	0.015235922916606578	0.015235922916606578	
LAMA4	0.9805825242718447	0.009708737864077669	0.009708737864077669	
BMP4	0.9803946226101362	0.009802688694931887	0.009802688694931887	
FILNC1	0.49753694581280794	0.49753694581280794	0.004926108374384237	
KYNU	0.9550768125688591	0.03251054222593317	0.012412645205207589	
LRRC25	0.9775977264302846	0.011201136784857653	0.011201136784857653	
UCHL1	0.9805825242718447	0.009708737864077669	0.009708737864077669	
CASP1	0.012701525130293987	0.012701525130293987	0.974596949739412	
