	Adrenal	Thyroid	Spleen	Thymus	Liver	Skin	Stomach
ABI3	-30.589205136693444	-53.24111679680192	-41.83642449070121	3.198359088880281	-39.37352249637182	-7.898779426319695	-27.658574794527148
ABI3BP	14.782725561728967	17.48285743924839	31.605250730267144	46.57872030747361	9.421754812052086	39.31923683184374	8.741751427747687
ABITRAM	-14.056996527384271	-26.222339643512818	-4.479105107640358	-3.5118692463667927	-17.5758713533724	-7.449281814886987	-14.949244681184616
ABL1	17.762895882641928	4.866254160816567	18.189201271072974	32.83315940543582	13.591332472476736	9.793271753608678	-0.9557860148514976
ABL2	58.470727409279384	47.992820422010105	59.65470495219334	71.04702710343503	45.886653241325305	51.36350335900509	51.44618204031459
ABLIM1	-15.714793781268611	-2.090958323615567	26.181094886105228	7.845222257251152	7.826693964419761	1.7742867408612994	0.8637622418663256
ABLIM2	49.064889601877105	49.77629066020584	12.681089067116915	78.83226305992947	48.65358280022482	27.0669262796521	60.54406399132416
ABLIM3	2.338527686079509	19.144438103246905	17.349854475930677	60.254070931893956	-6.206323473813185	23.435714935049546	19.796287980897382
ABO	14.237870302757642	0.5348101786791375	20.472327963025997	51.87966716449755	33.4944387806005	31.813624641550263	48.14483747413605
ABR	14.687805447450017	23.27754923980021	12.960382007627999	67.50940770014208	13.169492175469642	8.951460685478892	13.619778607750305
ABR-AS1			4.040943846090602				
ABRA		51.457946265847085	33.249509845707955	26.56710049071901		9.965992703985462	0.004362240446693422
ABRACL	-47.49238399203258	-58.05798937092308	-46.96898215041523	-45.77562350458706	-62.40370932850114	-45.91273084077461	-56.3651113020439
ABRAXAS1	36.47523963705798	21.896720203341857	46.32721909903292	42.970884706981494	50.96964094119315	37.57840125119257	42.37890099071028
ABRAXAS2	10.800998345018122	8.641070736393722	12.743147265941694	19.274969505425005	10.754671853848272	4.151111364535694	15.531564833305865
ABT1	-55.93300228180617	-37.705337438341395	-52.83335273765745	-24.76887786085598	-55.90985308381428	-39.6918404779953	-49.64753128944482
ABTB1	-53.75237802932281	-50.131643433895654	-46.137153510623335	-33.80897124243184	-46.769753795642494	-41.455409575308295	-52.97737062793895
ABTB2	50.23624564909102	66.44294039660339	69.91463068737703	80.78423687882253	37.99688291668053	28.911281190004125	31.394377952135848
ACAA1	-34.12984445533026	-31.728474662660908	-28.163746234209277	-13.212056257250595	-10.449532016400767	-14.556730330286534	-27.943533965349886
ACAA2	-52.107922940213896	-49.569564930761445	-40.11334076845835	-44.56990765153151	-49.8683662896099	-21.14394579282473	-41.55706223382157
ACACA	28.50649963687526	47.30456642736024	54.9932118314759	75.82505533458368	37.21826628527377	41.06320949888351	45.90576093789403
ACACB	23.26316608235203	16.190729543556102	27.229318401924488	52.86900922525823	2.251583088858922	35.525508790888566	9.199515355177354
ACAD10	9.626751373733043	10.991255684142047	22.979007953258694	38.787520470759745	13.246474067246439	19.424593588564704	12.950332438142354
ACAD8	-35.99444421211244	-40.66846087683257	-16.0630665943034	12.34882544616839	-18.324570430773676	-17.262235357008883	-24.95291338494978
ACAD9	25.393504130655195	26.023350978223412	30.820535756162613	35.976231761770634	24.48342304226358	7.1119374000236775	26.496209709563793
ACAD9-DT	20.188488699780844	23.065329104893458	22.78726708074534		29.936084177572937	28.454307421556425	12.649480434764987
ACADL	10.192300625395479	-16.532965190997217	37.88127928964894	53.94464949762829	-8.853424829502224	12.865413273563806	-7.672578117584884
ACADM	-9.242302487221792	-0.45773031653318696	6.928606352125328	5.7695354477691865	-7.861452690595158	30.969144673325978	-5.82672757979276
ACADS	-55.758299652317916	-50.62574607973563	-43.20757081086395	6.541549424124192	-38.675524260586506	-30.909310158440654	-58.704092851772444
